subject,fid,Qtype,response
mrashid,27797891,5,0
mrashid,10576888,2,0
mrashid,10576888,4,0
mrashid,10576888,5,0
mrashid,44520094,1,0
mrashid,44520094,3,0
mrashid,44520094,5,0
mrashid,27796431,1,0
mrashid,27796431,4,0
mrashid,27796431,5,0
mrashid,8867670,1,0
mrashid,8867670,2,0
mrashid,8867670,5,1
mrashid,27801385,3,0
mrashid,27801385,4,0
mrashid,27801385,5,0
mrashid,27805178,1,0
mrashid,27805178,5,0
mrashid,27805178,5,0
mrashid,27802216,2,0
mrashid,27802216,4,0
mrashid,27802216,5,1
mrashid,27802905,1,0
mrashid,27802905,4,0
mrashid,27802905,5,1
mrashid,36144098,4,0
mrashid,36144098,5,0
mrashid,36144098,5,0
mrashid,27796647,3,1
mrashid,27796647,4,0
mrashid,27796647,5,0
mrashid,27797205,1,0
mrashid,27797205,4,2
mrashid,27797205,5,0
mrashid,44519964,3,0
mrashid,44519964,5,0
mrashid,44519964,5,0
mrashid,27800218,3,0
mrashid,27800218,4,0
mrashid,27800218,5,0
mrashid,10576511,1,0
mrashid,10576511,3,1
mrashid,10576511,5,0
mrashid,44520148,1,0
mrashid,44520148,4,0
mrashid,44520148,5,0
mrashid,10576909,1,0
mrashid,10576909,4,0
mrashid,10576909,5,0
mrashid,10577247,1,0
mrashid,10577247,2,0
mrashid,10577247,3,0
maheshwari,7349197,1,0
maheshwari,7349197,2,0
maheshwari,7349197,5,3
maheshwari,8867670,1,1
maheshwari,8867670,3,6
maheshwari,8867670,4,0
maheshwari,10578077,1,1
maheshwari,10578077,4,0
maheshwari,10578077,5,0
maheshwari,22908000,4,0
maheshwari,22908000,5,0
maheshwari,22908000,6,2
maheshwari,4661284,3,0
maheshwari,4661284,4,0
maheshwari,4661284,5,1
maheshwari,27797205,1,0
maheshwari,27797205,3,0
maheshwari,27797205,5,1
maheshwari,36144131,3,0
maheshwari,36144131,4,0
maheshwari,36144131,5,1
maheshwari,27797673,1,0
maheshwari,27797673,5,1
maheshwari,27797673,5,0
maheshwari,27797673,6,1
maheshwari,27797891,1,0
maheshwari,27797891,2,2
maheshwari,27797891,4,2
maheshwari,44520124,2,0
maheshwari,44520124,3,0
maheshwari,44520124,4,0
maheshwari,44520124,4,0
cozma_92,27799536,1,3
cozma_92,27799536,5,0
cozma_92,51583309,1,0
cozma_92,51583309,2,0
cozma_92,51583309,3,0
cozma_92,27798255,3,1
cozma_92,27798255,5,0
cozma_92,27798255,6,0
cozma_92,22908000,1,0
cozma_92,22908000,2,0
cozma_92,22908000,4,0
cozma_92,10579194,1,0
cozma_92,10579194,4,0
cozma_92,10579194,6,0
cozma_92,27804279,1,0
cozma_92,27804279,2,0
cozma_92,27804279,6,0
cozma_92,4661284,4,0
cozma_92,4661284,5,0
cozma_92,4661284,6,0
cozma_92,10576909,1,0
cozma_92,10576909,3,0
cozma_92,10576909,5,0
cozma_92,27797673,1,0
cozma_92,27797673,3,0
cozma_92,27797673,4,0
cozma_92,44520084,2,0
cozma_92,44520084,4,0
cozma_92,44520084,5,0
cozma_92,27804446,3,0
cozma_92,27804446,4,0
cozma_92,27804446,5,0
cozma_92,44519964,1,0
cozma_92,44519964,3,0
cozma_92,44519964,5,0
cozma_92,44520148,1,0
cozma_92,44520148,4,0
cozma_92,10577247,2,0
cozma_92,10577247,4,2
cozma_92,10577247,4,0
cozma_92,44520208,2,0
cozma_92,44520208,4,0
cozma_92,44520208,6,0
cozma_92,27799972,2,1
cozma_92,27799972,2,0
cozma_92,27799972,6,0
ldecamora,22907980,2,2
ldecamora,22907980,2,0
ldecamora,22907980,2,0
ldecamora,22907980,3,1
ldecamora,22907980,3,1
ldecamora,27799972,1,0
ldecamora,27799972,1,0
ldecamora,27799972,5,0
ldecamora,27799972,6,0
ldecamora,10579035,1,0
ldecamora,10579035,2,0
ldecamora,10579035,6,0
ldecamora,7349040,2,0
ldecamora,7349040,3,2
ldecamora,7349040,3,3
ldecamora,7349040,5,0
ldecamora,7349040,5,0
ldecamora,27798653,1,0
ldecamora,27798653,4,0
ldecamora,27798653,5,0
ldecamora,22908012,1,0
ldecamora,22908012,4,0
ldecamora,22908012,5,0
ldecamora,27801385,1,1
ldecamora,27801385,2,2
seph1603,22907673,5,1
seph1603,22907673,6,0
seph1603,27796391,4,2
seph1603,27796391,6,0
seph1603,44520148,2,1
seph1603,44520148,5,0
seph1603,44520148,6,0
seph1603,8867670,1,1
seph1603,8867670,4,0
seph1603,8867670,5,1
seph1603,27803446,1,0
seph1603,27803446,2,0
seph1603,27803446,5,0
seph1603,27799972,2,0
seph1603,27799972,4,1
seph1603,27799972,6,0
seph1603,10576511,2,0
seph1603,10576511,4,0
seph1603,10576511,6,0
seph1603,7349067,1,0
seph1603,7349067,4,0
seph1603,7349067,6,0
seph1603,47632533,4,1
seph1603,47632533,5,0
seph1603,47632533,6,0
seph1603,47632544,1,0
seph1603,47632544,4,0
seph1603,47632544,6,0
seph1603,34090221,2,0
seph1603,34090221,4,0
seph1603,34090221,5,0
seph1603,44520094,4,0
